Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CAP0_1u,2,0.1uF,
"C3, C4",CP_Radial_D10.0mm_P5.00mm,2,1000uF,
D1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,12V LED,
D2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,3V3 LED,
D3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,X,
D4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Y,
J1,BarrelJack_Horizontal,1,Barrel_Jack,
J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Motor1,
J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Motor2,
J4,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Servomotor,
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Fan,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,1000,
"R2, R3, R5",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,270,
"R4, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,47k,
SW1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,LSW1,
SW2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,LSW2,
SW3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,OOSW,
"TMC1, TMC2",TMC2209,2,Driver,
TP1,TestPoint_Pad_D1.5mm,1,TP12V,
TP2,TestPoint_Pad_D1.5mm,1,TP5V,
TP3,TestPoint_Pad_D1.5mm,1,TPSW1,
TP4,TestPoint_Pad_D1.5mm,1,TPSW2,
U1,Esp32-C3,1,ESP32C3,
U2,Reg_12V,1,Power_Regulator,
