Designator,Mid X,Mid Y,Rotation,Layer
C1,136.9,-95.0,0.0,top
C2,136.9,-114.7,0.0,top
C3,153.3,-84.0,90.0,top
C4,166.3,-84.0,90.0,top
D1,141.05,-121.6,0.0,top
D2,150.85,-121.7,0.0,top
D3,160.55,-121.7,0.0,top
D4,170.15,-121.6,0.0,top
J1,127.552,-85.8485,90.0,top
J2,119.725,-98.3,270.0,top
J3,119.725,-112.9,270.0,top
J4,181.8,-121.7,0.0,top
J5,128.625,-108.25,90.0,top
R1,146.1,-115.0,0.0,top
R2,154.4,-115.0,0.0,top
R3,162.74,-115.0,180.0,top
R4,136.85,-101.9,180.0,top
R5,171.0,-115.0,180.0,top
R6,136.95,-110.45,180.0,top
SW1,128.6,-98.7,90.0,top
SW2,128.7,-117.65,90.0,top
SW3,142.15,-82.3,0.0,top
TMC1,143.62,-92.52,0.0,top
TMC2,160.15,-92.52,0.0,top
U1,184.58,-89.4,0.0,top
U2,193.78,-109.0,0.0,top
