x1,y1,x2,y2,x3,y3,x4,y4
180.16298,567.12506,187.61623,494.16132,105.991,494.03546,96.0,567.0
264.3151,567.2501,269.23126,494.28714,187.61623,494.16132,180.16298,567.12506
348.45636,567.3751,350.8361,494.41296,269.23126,494.28714,264.3151,567.2501
432.5868,567.5001,432.4307,494.53876,350.8361,494.41296,348.45636,567.3751
516.70636,567.6251,514.01514,494.66455,432.4307,494.53876,432.5868,567.5001
600.81506,567.7501,595.5893,494.7903,514.01514,494.66455,516.70636,567.6251
684.91296,567.87506,677.1533,494.91608,595.5893,494.7903,600.81506,567.7501
769.0,568.0,758.70715,495.0418,677.1533,494.91608,684.91296,567.87506
187.61623,494.16132,194.63329,425.46783,115.39722,425.34152,105.991,494.03546
269.23126,494.28714,273.8597,425.59418,194.63329,425.46783,187.61623,494.16132
350.8361,494.41296,353.07654,425.7205,273.8597,425.59418,269.23126,494.28714
432.4307,494.53876,432.28375,425.84677,353.07654,425.7205,350.8361,494.41296
514.01514,494.66455,511.48135,425.97305,432.28375,425.84677,432.4307,494.53876
595.5893,494.7903,590.6693,426.0993,511.48135,425.97305,514.01514,494.66455
677.1533,494.91608,669.84766,426.22556,590.6693,426.0993,595.5893,494.7903
758.70715,495.0418,749.0164,426.35178,669.84766,426.22556,677.1533,494.91608
194.63329,425.46783,201.25133,360.68045,124.268555,360.5539,115.39722,425.34152
273.8597,425.59418,278.225,360.807,201.25133,360.68045,194.63329,425.46783
353.07654,425.7205,355.18964,360.93353,278.225,360.807,273.8597,425.59418
432.28375,425.84677,432.14514,361.06006,355.18964,360.93353,353.07654,425.7205
511.48135,425.97305,509.0916,361.18655,432.14514,361.06006,432.28375,425.84677
590.6693,426.0993,586.029,361.31305,509.0916,361.18655,511.48135,425.97305
669.84766,426.22556,662.9573,361.43954,586.029,361.31305,590.6693,426.0993
749.0164,426.35178,739.8765,361.566,662.9573,361.43954,669.84766,426.22556
201.25133,360.68045,207.50346,299.47516,132.64937,299.34857,124.268555,360.5539
278.225,360.807,282.34897,299.6017,207.50346,299.47516,201.25133,360.68045
355.18964,360.93353,357.18588,299.72827,282.34897,299.6017,278.225,360.807
432.14514,361.06006,432.01422,299.8548,357.18588,299.72827,355.18964,360.93353
509.0916,361.18655,506.83398,299.98132,432.01422,299.8548,432.14514,361.06006
586.029,361.31305,581.64514,300.10785,506.83398,299.98132,509.0916,361.18655
662.9573,361.43954,656.44775,300.2343,581.64514,300.10785,586.029,361.31305
739.8765,361.566,731.24176,300.3608,656.44775,300.2343,662.9573,361.43954
207.50346,299.47516,213.4192,241.56288,140.57924,241.43648,132.64937,299.34857
282.34897,299.6017,286.25104,241.68929,213.4192,241.56288,207.50346,299.47516
357.18588,299.72827,359.07474,241.81566,286.25104,241.68929,282.34897,299.6017
432.01422,299.8548,431.89032,241.94202,359.07474,241.81566,357.18588,299.72827
506.83398,299.98132,504.69778,242.06837,431.89032,241.94202,432.01422,299.8548
581.64514,300.10785,577.49713,242.1947,504.69778,242.06837,506.83398,299.98132
656.44775,300.2343,650.2883,242.32103,577.49713,242.1947,581.64514,300.10785
731.24176,300.3608,723.0714,242.44734,650.2883,242.32103,656.44775,300.2343
213.4192,241.56288,219.02501,186.68484,148.09361,186.55876,140.57924,241.43648
286.25104,241.68929,289.9487,186.8109,219.02501,186.68484,213.4192,241.56288
359.07474,241.81566,360.86465,186.93695,289.9487,186.8109,286.25104,241.68929
431.89032,241.94202,431.77292,187.06299,360.86465,186.93695,359.07474,241.81566
504.69778,242.06837,502.6735,187.18901,431.77292,187.06299,431.89032,241.94202
577.49713,242.1947,573.56635,187.31502,502.6735,187.18901,504.69778,242.06837
650.2883,242.32103,644.4515,187.44101,573.56635,187.31502,577.49713,242.1947
723.0714,242.44734,715.329,187.567,644.4515,187.44101,650.2883,242.32103
219.02501,186.68484,224.3446,134.60864,155.22432,134.48302,148.09361,186.55876
289.9487,186.8109,293.45755,134.73424,224.3446,134.60864,219.02501,186.68484
360.86465,186.93695,362.5632,134.85983,293.45755,134.73424,289.9487,186.8109
431.77292,187.06299,431.66153,134.98541,362.5632,134.85983,360.86465,186.93695
502.6735,187.18901,500.75253,135.11096,431.66153,134.98541,431.77292,187.06299
573.56635,187.31502,569.83624,135.23651,500.75253,135.11096,502.6735,187.18901
644.4515,187.44101,638.9126,135.36206,569.83624,135.23651,573.56635,187.31502
715.329,187.567,707.9816,135.48758,638.9126,135.36206,644.4515,187.44101
224.3446,134.60864,229.39935,85.125046,162.0,85.0,155.22432,134.48302
293.45755,134.73424,296.79175,85.25008,229.39935,85.125046,224.3446,134.60864
362.5632,134.85983,364.1772,85.3751,296.79175,85.25008,293.45755,134.73424
431.66153,134.98541,431.55566,85.50011,364.1772,85.3751,362.5632,134.85983
500.75253,135.11096,498.9272,85.6251,431.55566,85.50011,431.66153,134.98541
569.83624,135.23651,566.29175,85.75008,498.9272,85.6251,500.75253,135.11096
638.9126,135.36206,633.64935,85.875046,566.29175,85.75008,569.83624,135.23651
707.9816,135.48758,701.0,86.0,633.64935,85.875046,638.9126,135.36206
